id,year,split,week,day,isPlayoffs,team1,team2,top1,jungle1,mid1,bot1,support1,top2,jungle2,mid2,bot2,support2,winner,blueside,redside,mvp,gameTime,team1Stats,team2Stats,team1Bans,team2Bans,team1Picks,team2Picks,dragonSoul
1,2022,Spring,1,1,0,Team SoloMid,Evil Geniuses,Huni,Spica,Keaiduo,Tactical,Shenyi,Impact,Inspired,Jojopyun,Danny,Vulcan,Evil Geniuses,Evil Geniuses,TeamSolo Mid,Danny,33:50,13-9-4-1-65.3k--2-2-3-278--1-0-11-223--3-3-7-334--7-1-4-382--0-1-11-52,7-4-0-0-56.2k--2-3-1-343--0-3-5-177--4-1-0-312--0-3-2-247--1-3-2-39,LEBLANC-VEX-CAITLYN-TAHM KENCH-AKALI,TWISTED FATE-CORKI-KARMA-YUUMI-ORIANNA,GWEN-JARVAN IV-RYZE-ZERI-LEONA,JAYCE-POPPY-VIKTOR-SENNA-RELL,OCEAN
2,2022,Spring,1,1,0,FlyQuest,Counter Logic Gaming,Kumo,Josedeodo,Toucouille,Johnsun,Aphromoo,Jenkins,Contractz,Palafox,Luger,Poome,FlyQuest,Counter Logic Gaming,FlyQuest,Toucouille,48:55,22-11-4-2-85.9k--1-2-17-59--3-3-13-304--6-2-6-364--11-1-7-516--1-5-15-32,13-8-4-1-87.9k--5-5-2-433--0-8-7-197--2-5-3-426--5-1-3-440--1-3-8-64,LEE SIN-JARVAN IV-CORKI-KARMA-BARD,TWISTED FATE-ZERI-LULU-RYZE-GANGPLANK,JANNA-XIN ZHAO-ZOE-JHIN-LEONA,GRAVES-TRUNDLE-VIKTOR-CAITLYN-LUX,CLOUD
3,2022,Spring,1,1,0,Team Liquid,100 Thieves,Bwipo,Santorin,Bjergsen,Hans Sama,Eyla,Ssumday,Closer,Abbedagge,FBI,Huhi,100 Thieves,Team Liquid,100 Thieves,FBI,40:12,3-4-2-0-67.8k--0-3-1-409--0-3-2-185--1-2-2-391--2-2-0-441--0-3-2-40,13-7-4-2-74k--0-1-7-348--1-0-5-235--2-1-7-353--9-0-4-417--1-1-7-43,KARMA-RYZE-ZERI-LEBLANC-GWEN,TWISTED FATE-CORKI-CAITLYN-ZILEAN-GRAVES,RENEKTON-JARVAN IV-ORIANNA-JINX-THRESH,ORNN-XIN ZHAO-AZIR-APHELIOS-LEONA,HEXTECH
4,2022,Spring,1,1,0,Golden Guardians,Cloud9,Licorice,Pridestalker,Ablazeolive,Lost,Olleh,Summit,Blaber,Fudge,Berserker,Winsome,Cloud9,Golden Guardians,Cloud9,Blaber,26:04,4-2-0-0-42.5k--0-3-2-189--3-2-1-212--1-2-0-245--0-1-1-227--0-2-3-9,10-7-4-1-48.1k--2-2-0-236--4-0-2-250--1-1-6-189--2-0-3-241--1-1-6-8,KARMA-CORKI-TWISTED FATE-LEE SIN-XIN ZHAO,THRESH-CAITLYN-ZERI-JARVAN IV-ZED,RENEKTON-QIYANA-VIKTOR-JHIN-YUUMI,GNAR-GWEN-IVERN-APHELIOS-SONA,OCEAN
5,2022,Spring,1,1,0,Immortals,Dignitas QNTMPAY ,Revenge,Xerxe,PowerOfEvil,Wildturtle,Destiny,Fakegod,River,Blue,Neo,Biofrost,Dignitas QNTMPAY,Dignitas QNTMPAY,Immortals,River,31:28,3-1-1-0-46.7k--2-3-0-236--0-5-2-157--1-4-0-264--0-2-1-260--0-3-3-33,17-11-3-1-58.4k--1-0-10-225--2-2-13-155--5-0-6-262--8-1-4-283--1-0-14-14,ZERI-RENEKTON-CORKI-TWISTED FATE-RYZE,JAYCE-GWEN-THRESH-ORIANNA-VIKTOR,AKALI-XIN ZHAO-VEX-EZREAL-KARMA,GRAGAS-JARVAN IV-LEBLANC-CAITLYN-LUX,OCEAN
6,2022,Spring,1,2,0,Counter Logic Gaming,100 Thieves,Jenkins,Contractz,Palafox,Luger,Poome,Ssumday,Closer,Abbedagge,FBI,Huhi,100 Thieves,100 Thieves,Counter Logic Gaming,Closer,31:29,6-1-1-0-48.6k--1-4-3-254--1-8-3-159--4-5-2-269--0-3-1-306--0-5-4-14,25-9-4-2-65.8k--5-0-7-239--6-1-9-222--3-3-8-239--7-1-12-302--4-1-12-44,ZERI-CAITLYN-RENEKTON-POPPY-JARVAN IV,GRAVES-JANNA-KARMA-THRESH-AKALI,KENNEN-DIANA-YASUO-JINX-LULU,GWEN-XIN ZHAO-TWISTED FATE-JHIN-SETT,OCEAN
7,2022,Spring,1,2,0,Team SoloMid,Dignitas QNTMPAY ,Huni,Spica,Keaiduo,Tactical,Shenyi,Fakegod,River,Blue,Neo,Biofrost,Dignitas QNTMPAY,TeamSolo Mid,Dignitas QNTMPAY,Biofrost,37:54,6-6-2-0-64.2k--2-3-1-362--1-4-4-184--2-3-2-381--1-4-4-366--0-1-5-10,15-8-4-1-70.3k--3-2-5-318--0-2-12-194--4-0-6-414--7-1-5-361--1-1-11-39,KARMA-CAITLYN-CORKI-RENEKTON-XIN ZHAO,TWISTED FATE-JAYCE-LEBLANC-AKALI-TRYNDAMERE,GRAVES-POPPY-RYZE-ZERI-YUMMI,GWEN-JARVAN IV-VIKTOR-APHELIOS-THRESH,INFERNAL
8,2022,Spring,1,2,0,Evil Geniuses,Cloud9,Impact,Inspired,Jojopyun,Danny,Vulcan,Summit,Blaber,Fudge,Berserker,Winsome,Cloud9,Cloud9,Evil Geniuses,Berserker,38:46,11-2-1-1-67k--8-3-1-367--2-4-5-203--0-5-4-292--1-2-2-393--0-3-5-33,17-9-4-1-73.3k--4-5-6-353--5-2-7-293--0-3-11-196--8-0-5-456--0-1-14-37,CORKI-ZERI-CAITLYN-LULU-IVERN,TWISTED FATE-SENNA-KARMA-RYZE-RENEKTON,TRYNDAMERE-XIN ZHAO-VIKTOR-JINX-LEONA,CAMILLE-OLAF-SORAKA-APHELIOS-THRESH,CLOUD
9,2022,Spring,1,2,0,Golden Guardians,FlyQuest,Licorice,Pridestalker,Ablazeolive,Lost,Olleh,Kumo,Josedeodo,Toucouille,Johnsun,Aphromoo,FlyQuest,FlyQuest,Golden Guardians,Josedeodo,34:08,8-6-2-1-59.2k--4-3-4-253--2-2-1-243--1-3-6-283--1-3-5-227--0-3-6-50,14-7-3-1-60.1k--0-1-14-60--2-2-9-213--4-2-5-280--7-1-6-382--1-2-13-44,ZERI-TWISTED FATE-CAITLYN-VIKTOR-JAYCE,RYZE-THRESH-QIYANA-JHIN-VARUS,GWEN-ZED-CORKI-APHELIOS-RAKAN,KARMA-LEE SIN-VEX-JINX-BRAUM,OCEAN
10,2022,Spring,1,2,0,Immortals,Team Liquid,Revenge,Xerxe,PowerOfEvil,Wildturtle,Destiny,Bwipo,Santorin,Bjergsen,Hans Sama,Eyla,Team Liquid,Immortals,Team Liquid,Santorin,29:05,6-2-1-0-46.6k--0-4-1-250--2-2-3-175--1-4-1-259--3-6-2-226--0-4-6-31,20-10-3-1-60.8k--5-0-1-351--8-2-11-174--1-0-14-243--5-2-8-265--1-2-11-41,JARVAN IV-TWISTED FATE-CAITLYN-GWEN-RENEKTON,CORKI-ZERI-KARMA-IRELIA-JAYCE,GRAVES-QIYANA-VIKTOR-APHELIOS-NAUTILUS,TRYNDAMERE-XIN ZHAO-ZILEAN-JINX-THRESH,MOUNTAIN
